BIL,BWX,^FTSE,^GSPC,^HSI
45.87,54,5489.2,1296.32,21885.21
45.88,53.47,5541.8,1305.32,21859.34
45.85,53.95,5534.5,1289.59,21640.89
45.89,53.91,5448.6,1285.83,21293.32
45.88,53.66,5497.5,1292.93,21392.71
45.89,53.09,5454.8,1298.2,21160.58
45.86,53.49,5450.2,1278.6,20930.67
45.9,53.63,5320.4,1266.69,20484.37
45.9,53.47,5371.8,1274.54,20931.26
45.91,53.9,5370.2,1277.72,20392.06
45.92,53.62,5505.6,1292.2,20392.06
45.91,53.9,5505.6,1266.84,21104.79
45.92,53.62,5470.7,1271.51,21056.66
45.92,53.38,5528.2,1281.66,21464.72
45.92,53.5,5601.2,1300.68,20972.29
45.9,53.26,5636.6,1282.83,21261.89
45.87,53.05,5620.7,1277.58,21042.46
45.87,53,5499.7,1274.98,20585.06
45.87,52.7,5362.1,1236.83,20389.48
45.88,52.4,5240.7,1242.31,19933.28
45.88,52.26,5446.3,1267.79,20794.27
45.87,52.32,5415.6,1224.51,20491.11
45.89,51.72,5366.2,1232.04,19999.78
45.88,51.6,5318.4,1249.05,19388.72
45.9,52.03,5416.7,1251.7,19352.9
45.97,52.57,5025.6,1213.6,18300.61
46.17,51.4,4912.4,1156.39,17637.19
46.04,51.07,4880,1206.51,17632.46
45.88,52.15,5311.3,1255.08,19327.73
45.9,52.87,5236.3,1207.09,19632.2
46.05,53.25,5136.1,1188.22,18872.85
45.91,53.39,5095.6,1185.87,18961.99
45.96,53.87,5197,1209.18,18934.43
46.04,53.24,5088.5,1213.27,18682.09
46.24,51.67,4818.8,1106.42,17880.68
46.07,51.89,4902.5,1166.36,18016.21
45.98,51.99,4870.3,1114.28,18211.11
45.98,52.08,4980.3,1099.23,17682.4
45.97,52.33,4589.2,1056.89,16803.76
45.96,51.21,4605.2,996.23,16803.76
45.92,49.19,4366.7,984.94,15431.73
45.99,49.31,4313.8,909.92,15943.24
46.03,48,3932.1,899.22,14796.87
45.85,48.02,4256.9,1003.35,16312.16
45.93,49.08,4394.2,998.01,16832.88
45.94,50.47,4079.6,907.84,15998.3
45.92,49.23,3861.4,946.43,15230.52
45.82,50.32,4063,940.55,14554.21
45.93,50.19,4282.7,985.4,15323.01
45.93,49.84,4229.7,955.05,15041.17
45.87,48.99,4040.9,896.78,14266.6
45.93,49.12,4087.8,908.11,13760.49
45.88,48.55,3883.4,876.77,12618.38
45.95,48.26,3852.6,848.92,11015.84
45.94,48.25,3926.4,940.51,12596.29
45.89,48.98,4242.5,930.09,12702.07
45.95,49.45,4291.7,954.09,14329.85
45.9,49.15,4377.3,968.75,13968.67
45.84,48.9,4443.3,966.3,14344.37
45.86,49.41,4639.5,1005.75,14384.34
45.88,49.53,4530.7,952.77,14840.16
45.95,49.41,4272.4,904.88,13790.04
45.95,49.62,4365,930.99,14243.43
45.94,49.48,4403.9,919.21,14744.63
45.94,49.01,4246.7,898.95,14040.9
45.95,49,4182,852.3,13939.09
45.95,49.45,4169.2,911.29,13221.35
45.95,49.35,4233,873.29,13542.66
45.97,49.25,4132.2,850.75,13529.53
45.92,49.07,4208.6,859.12,12915.89
45.91,48.9,4005.7,806.58,12815.8
45.94,49.2,3875,752.44,12298.56
45.93,49,3781,800.03,12659.2
45.94,49.95,4153,851.81,12457.94
45.95,50.6,4171.3,857.39,12878.6
45.97,50.5,4152.7,887.68,13369.45
45.83,50.3,4288,896.24,13888.24
45.93,50.35,4065.5,816.21,14108.84
45.97,50.63,4122.9,848.81,13405.85
45.9,50.65,4170,870.74,13588.66
45.88,50.48,4163.6,845.22,13509.78
45.88,50.26,4049.4,876.07,13846.09
45.89,50.9,4300.1,909.7,15044.87
45.87,50.8,4381.3,888.67,14753.22
45.9,50.91,4367.3,899.24,15577.74
45.85,51.81,4388.7,873.59,15613.9
45.87,51.77,4280.4,879.73,14758.39
45.86,52.55,4277.6,868.57,15046.95
45.89,54.19,4309.1,913.18,15130.21
45.86,55.42,4324.2,904.42,15460.52
45.83,54.92,4330.7,885.28,15497.81
45.86,54.33,4286.9,887.88,15127.51
45.92,54.45,4249.2,871.63,14622.39
45.87,54.43,4256,863.16,14220.79
45.92,54.45,4216.6,868.15,14184.14
45.92,54.4,4216.6,872.8,14184.14
45.73,54.67,4319.4,869.42,14328.48
45.89,54.8,4392.7,890.64,14235.5
45.79,54.4,4434.2,903.25,14387.48
45.8,53.95,4561.8,931.8,15042.81
45.8,53.3,4579.6,927.45,15563.31
45.81,52.3,4638.9,934.7,15509.51
45.88,53.09,4507.5,906.65,14987.46
45.83,53.53,4505.4,909.73,14415.91
45.86,53.2,4448.5,890.35,14377.44
45.84,52.9,4426.2,870.26,13971
45.9,52.32,4399.2,871.79,13668.05
45.91,52.12,4180.6,842.62,13704.61
45.92,52.19,4121.1,843.74,13242.96
45.89,52.35,4147.1,850.12,13255.51
45.81,51.35,4091.4,805.22,12959.77
45.89,51.39,4059.9,840.24,12583.63
45.9,51.4,4052.2,827.5,12657.99
45.89,51.15,4052.5,831.95,12578.6
45.84,51.39,4190.1,845.14,13154.43
45.88,50.75,4149.6,825.88,13278.21
45.9,50.75,4077.8,825.44,12861.49
45.86,50.95,4164.5,838.51,12776.89
45.89,50.7,4228.6,832.23,13063.89
45.87,50.48,4228.9,845.85,13178.9
45.8,50.55,4291.9,868.6,13655.04
45.86,50.9,4307.6,869.89,13769.06
45.85,50.9,4213.1,827.16,13880.64
45.84,50.95,4234.3,833.74,13539.21
45.84,50.75,4202.2,835.19,13228.3
45.88,50.61,4189.6,826.84,13554.67
45.88,49.56,4034.1,789.17,12945.4
45.89,49.35,4006.8,788.42,13016
45.89,49.27,4018.4,778.94,13023.36
45.89,50.19,3889.1,770.05,12699.17
45.88,49.8,3850.7,743.33,13175.1
45.85,49.9,3816.4,773.14,12798.52
45.83,49.41,3849,764.9,13005.08
45.84,49.19,3915.6,752.83,12894.94
45.87,48.94,3830.1,735.09,12811.57
45.89,48.57,3625.8,700.82,12317.46
45.88,48.26,3512.1,696.33,12033.88
45.88,48.39,3645.9,712.87,12331.15
45.89,48.43,3529.9,682.55,12211.24
45.88,48.3,3530.7,683.38,11921.52
45.88,48.55,3542.4,676.53,11344.58
45.88,48.7,3715.2,719.6,11694.05
45.88,49.42,3693.8,721.36,11930.66
45.86,49.8,3712.1,750.74,12001.53
45.85,49.72,3753.7,756.55,12525.8
45.84,49.86,3864,753.89,12976.71
45.87,49.91,3857.1,778.12,12878.09
45.88,51.59,3805,794.35,13117.17
45.85,52.3,3816.9,784.04,13130.92
45.87,51.99,3842.9,768.54,12833.51
45.88,52.38,3952.8,822.92,13447.42
45.87,51.5,3911.5,806.12,13910.34
45.89,51.93,3900.3,813.88,13622.11
45.88,51.72,3925.2,832.86,14108.98
45.89,51.3,3898.9,815.94,14119.5
45.88,51.1,3762.9,787.53,13456.33
45.86,51.15,3926.1,797.87,13576.02
45.86,51.25,3955.6,811.08,13519.54
45.83,51.45,4125,834.38,14521.97
45.86,51.6,4029.7,842.5,14545.69
45.85,51.21,3993.5,835.48,14998.04
45.85,51.1,3930.5,815.55,14928.97
45.87,51.09,3925.5,825.16,14474.86
45.84,50.65,3983.7,856.56,14901.41
45.87,51.51,3983.7,858.73,14901.41
45.85,51.55,3989,841.5,15580.16
45.85,51.5,3968.4,852.06,15669.62
45.88,51.27,4053,865.3,15582.99
45.83,50.75,4092.8,869.6,15601.27
45.85,50.6,3990.9,832.39,15750.91
45.84,50.83,3987.5,850.08,15285.89
45.87,50.73,4030.7,843.55,14878.45
45.89,51.33,4018.2,851.92,15214.46
45.89,51.89,4156,866.23,15258.85
45.88,51.03,4167,857.51,14840.42
45.89,51.75,4096.4,855.16,14555.11
45.88,51.83,4189.6,873.64,14956.95
45.88,51.61,4243.7,872.81,15520.99
45.89,51.9,4243.2,877.52,15520.99
45.83,52.22,4243.2,907.24,16381.05
45.84,52.2,4336.9,903.8,16430.08
45.83,52.41,4396.5,919.53,16834.57
45.83,51.98,4398.7,907.39,17217.89
45.84,52.85,4462.1,929.23,17389.87
45.83,52.86,4435.5,909.24,17087.95
45.87,52.87,4425.5,908.35,17153.64
45.84,53.05,4331.4,883.92,17059.62
45.85,53.15,4362.6,893.07,16541.69
45.85,52.66,4348.1,882.88,16790.7
45.88,53,4446.5,909.71,17022.91
45.87,53.01,4482.3,908.13,17544.03
45.83,53.72,4468.4,903.47,17475.84
45.86,54.04,4345.5,888.33,17199.49
45.87,54.15,4365.3,887,17062.52
45.88,54.09,4411.7,910.33,16991.56
45.88,53.84,4416.2,893.06,17885.27
45.88,54.38,4417.9,919.14,18171
45.84,54.36,4506.2,942.87,18888.59
45.84,54.71,4477,944.74,18389.08
45.86,54.22,4383.4,931.76,18576.47
45.86,54.14,4386.9,942.46,18502.77
45.85,53.09,4438.6,940.09,18679.53
45.86,53.3,4405.2,939.14,18253.39
45.85,53.8,4404.8,942.43,18058.49
45.86,53.23,4436.8,939.15,18785.66
45.83,53.85,4461.9,944.89,18791.03
45.87,53.82,4442,946.21,18889.68
45.87,53.31,4326,923.72,18498.96
45.88,53.43,4328.6,911.97,18165.5
45.88,53.91,4278.5,910.71,18084.6
45.87,53.63,4280.9,918.37,17776.66
45.88,53.77,4345.9,921.23,17920.93
45.88,53.6,4234.1,893.04,18059.55
45.88,54.28,4230,895.1,17538.37
45.88,53.94,4280,900.94,17892.15
45.88,54.3,4252.6,920.26,18275.03
45.88,54.66,4241,918.9,18600.26
45.88,54.57,4294,927.23,18528.51
45.87,54.66,4249.2,919.32,18378.73
45.88,54.7,4234.3,896.42,18178.05
45.87,54.84,4194.9,898.72,17979.41
45.87,54.34,4187,881.03,17862.27
45.88,54.66,4140.2,879.56,17721.07
45.87,55.11,4158.7,882.68,17790.59
45.87,55.04,4127.2,879.13,17708.42
45.88,54.95,4202.1,901.05,17254.63
45.88,54.8,4237.7,905.84,17885.73
45.86,55.09,4346.5,932.68,18258.66
45.88,55.21,4361.8,940.74,18361.87
45.88,55.05,4388.8,940.38,18805.66
45.86,55.27,4443.6,951.13,19502.37
45.86,55.42,4481.2,954.58,19501.73
45.87,55.52,4493.7,954.07,19248.17
45.86,55.31,4559.8,976.29,19817.7
45.85,55.63,4576.6,979.26,19982.79
45.85,55.58,4586.1,982.18,20251.62
45.86,55.6,4528.8,979.62,20624.54
45.86,55.32,4547.5,975.15,20135.5
45.87,55.19,4631.6,986.75,20234.08
45.84,56.37,4608.4,987.48,20573.33
45.85,56.4,4682.5,1002.63,20807.26
45.86,56.31,4671.4,1005.65,20796.43
45.85,56.6,4647.1,1002.72,20494.77
45.85,56.2,4690.5,997.08,20899.24
45.85,55.55,4731.6,1010.48,20375.37
45.85,55.43,4722.2,1007.1,20929.52
45.85,55.39,4671.3,994.35,21074.21
45.87,55.72,4716.8,1005.81,20435.24
45.85,55.88,4755.5,1012.73,20861.3
45.87,56.01,4714,1004.09,20893.33
45.85,55.85,4645,979.73,20137.65
45.87,55.82,4685.8,989.67,20306.27
45.85,56.23,4689.7,996.46,19954.23
45.86,56.41,4756.6,1007.37,20328.86
45.85,56.59,4850.9,1026.13,20199.02
45.85,56.62,4896.2,1025.57,20535.94
45.85,56.55,4916.8,1028,20435.24
45.86,56.39,4890.6,1028.12,20456.32
45.86,56.74,4869.4,1030.98,20242.75
45.87,56.54,4908.9,1028.93,20098.62
45.87,56.8,4908.9,1020.62,19724.19
45.84,56.29,4819.7,998.04,19872.3
45.88,56.47,4817.6,994.75,19522
45.88,56.7,4796.8,1003.24,19761.68
45.88,56.94,4851.7,1016.4,20318.62
45.88,57.54,4947.3,1025.39,21069.81
45.85,57.54,5004.3,1033.37,20851.04
45.86,57.45,4987.7,1044.14,21069.56
45.85,57.79,5011.5,1042.73,21161.42
45.85,58.13,5018.9,1049.34,20932.2
45.85,58.22,5042.1,1052.63,20866.37
45.85,58.33,5124.1,1068.76,21402.92
45.86,58.41,5164,1065.49,21768.51
45.85,58.18,5172.9,1068.3,21623.45
45.88,57.71,5134.4,1064.66,21472.85
45.85,58.43,5142.6,1071.66,21701.14
45.87,58.31,5139.4,1060.87,21595.52
45.85,57.85,5079.3,1050.78,21050.73
45.87,58.21,5082.2,1044.38,21024.4
45.88,58.39,5165.7,1062.98,20588.41
45.88,58.25,5159.7,1060.61,21013.17
45.88,58.43,5133.9,1057.08,20955.25
45.85,58.13,5047.8,1029.85,20955.25
45.85,58.36,4988.7,1025.21,20375.49
45.87,58.47,5024.3,1040.46,20429.07
45.85,58.64,5138,1054.72,20811.53
45.87,58.77,5108.9,1057.58,21241.59
45.85,59.26,5154.6,1065.48,21492.9
45.86,58.69,5161.9,1071.49,21499.44
45.86,58.99,5210.2,1076.19,21299.35
