XBB,SPY
19.7,79.02
19.61,80.05
19.28,79.13
19.28,79.11
19.21,79.83
18.98,80.84
18.94,80
19.07,81.59
19.04,81.96
18.93,81.5
18.9,80.46
18.73,81.22
18.73,81.62
18.81,81.44
18.79,80.96
18.79,79.81
18.75,80.63
18.63,79.63
18.64,80.35
18.74,80.41
18.77,79.8
18.61,81.21
18.68,80.91
18.73,80.54
18.74,80.35
18.69,80.53
18.63,79.82
18.59,79.82
18.63,78.12
18.5,78.58
18.58,79.41
18.4,79.63
18.53,79.93
18.6,80.66
18.61,80.25
18.52,80.47
18.5,80.72
18.4,81.41
18.43,81.72
18.46,81.39
18.57,81.65
18.79,80.84
18.75,80.97
18.62,81.11
18.66,81.14
18.62,81.64
18.65,82.19
18.52,83.29
18.67,83.75
18.71,83.79
18.59,83.32
18.52,84.01
18.63,83.46
18.78,82.61
18.77,82.86
18.8,83.01
18.84,82.72
18.8,83.93
18.87,83.76
18.84,84.75
18.82,84.32
18.87,83.41
18.85,83.73
18.87,82.24
18.94,81.56
18.96,81.3
19.09,82.09
19.12,81.3
19.17,83.03
19.08,83.33
19.17,84.09
19.21,84.48
19.15,84.8
18.96,84.59
19.02,84.82
18.88,85.05
18.96,85.32
18.84,85.62
18.88,85.4
18.72,85.74
18.67,84.8
18.63,85.44
18.75,85.29
18.8,84.22
18.85,84.06
18.9,84.25
18.87,84.29
18.97,85.44
18.86,85.55
18.78,85.73
18.9,85.65
18.81,86.21
18.89,86.02
18.79,86.09
18.86,86.54
18.88,85.9
18.75,85.55
18.64,85.53
18.65,86.49
18.71,86.51
18.72,85.78
18.83,85.35
18.88,84.46
18.96,85.18
18.93,84.41
18.92,84.76
19,85.88
19.07,86.21
19.02,86.52
19.06,86.58
19,87.52
19.01,87.3
18.96,87.16
18.94,87.52
18.95,86.91
18.97,87.49
18.96,86.82
19.08,86.81
18.97,87.79
18.93,87.96
18.99,87.52
19.02,87.97
19.09,88.25
19.09,89.24
19.13,88.99
19.24,89.62
19.31,89.67
19.27,89.58
19.29,89.65
19.24,90.84
19.31,90.86
19.31,90.94
19.13,90.9
19.06,91.89
19.02,91.98
18.88,92.29
18.88,92.66
18.96,91.85
19.03,92.52
18.97,91.99
19.11,92.75
19.16,92.98
19.15,93.35
19.26,93.33
19.24,94.06
19.2,93.82
19.22,93.51
19.21,94.69
19.33,93.72
19.45,92.65
19.28,92.74
19.22,92.74
19.33,93.14
19.17,92.98
19.18,92.22
19.24,92.49
19.28,93.53
19.32,93.55
19.27,93.86
19.24,94.85
19.38,94.51
19.43,94.09
19.39,94.94
19.48,94.52
19.47,94.17
19.5,93.88
19.51,93.64
19.47,93.48
19.44,93.87
19.4,93.93
19.37,94
19.45,94.93
19.49,94.37
19.5,94.54
19.52,94.79
19.6,95.11
19.63,93.95
19.59,93.57
19.55,92
19.59,90.81
19.72,92
19.72,90.87
19.8,91.36
19.78,92.38
19.79,92.4
19.79,91.08
19.78,89.92
19.84,89.77
19.86,89.84
19.88,91.03
19.86,91.05
19.89,92.33
19.91,92.64
19.93,92.75
19.87,93.31
19.77,94.01
19.69,94.53
19.67,94.23
19.72,94.01
19.69,93.79
19.45,94.16
19.36,92.84
19.39,92.99
19.48,92.64
19.5,93.35
19.44,93.35
19.27,91.78
19.23,92.4
19.25,93.69
19.32,93.78
19.26,93.65
19.17,93.73
19.26,92.52
19.31,91.71
19.25,91
19.28,91.97
19.32,91.9
19.26,92.49
19.21,91.69
19.38,90.18
19.39,89.25
19.38,90
19.37,90.58
19.36,90.2
19.09,90.24
19.17,89.47
19.12,89.92
19.07,89.61
19,89.9
19.08,90.05
19.17,90.43
19.13,91.73
19.02,92.05
19.1,92.56
19.11,92.55
19.09,92.43
19.19,92.78
19.34,91.92
19.24,92.65
19.29,94.06
19.2,94.19
19.09,93.32
19.14,93.78
19,92.85
18.99,93.5
19.01,93.49
19.01,93.35
18.96,93.53
18.91,93.17
18.84,93.64
19.02,94.45
18.96,94.15
18.99,93.7
18.98,93.38
19.02,93.76
19.04,94.27
19.02,92.96
19.13,92.91
18.97,92.09
18.86,92.36
18.91,91.72
18.95,91.96
19.21,92
19.15,92.07
19.13,91.79
19.15,91.2
19.21,91.12
19.18,90.74
19.22,91.89
19.12,90.19
19.11,90.44
19.1,89.68
19.29,89.51
19.3,90.35
19.21,90.62
19.19,91.01
19.2,91.23
19.21,91.42
19.25,90.71
19.09,90.7
19.15,89.22
19.15,87.94
19.2,88.07
19.33,89.2
19.3,89.02
19.33,88.05
19.53,88.22
19.43,89.14
19.44,89.64
19.4,90.56
19.47,90.3
19.56,90.93
19.4,90.7
19.52,90.83
19.47,91.44
19.52,91.44
19.55,91.73
19.44,90.97
19.44,91.45
19.47,91.62
19.51,92.66
19.51,92.28
19.58,92.89
19.62,92.66
19.62,92.58
19.54,93.06
19.48,93.36
19.47,93.55
19.53,92.84
19.52,93.12
19.6,93.52
19.62,92.96
19.57,93.36
19.6,92.2
19.73,91.7
19.68,92.12
19.73,91.53
19.71,91.97
19.75,92.44
19.69,92.37
19.71,93.93
19.74,94.09
19.8,94.14
19.69,94.78
19.64,93.77
19.58,92.99
19.57,93.37
19.65,93.01
19.62,92.19
19.56,91.44
19.69,91.96
19.71,92.3
19.76,91.53
19.8,91.34
19.8,91.94
19.8,90.91
19.85,90.8
19.91,92.19
19.95,93.29
19.97,93.58
19.96,93.56
19.97,93.82
19.87,93.85
19.91,95.03
19.96,96.33
19.88,96.93
19.9,96.79
19.93,96.6
19.97,96.68
19.85,97.41
19.87,98.18
19.84,98.42
19.81,97.72
19.89,98.3
19.98,98.43
19.92,97.33
19.91,97.8
